Result,Trial,Arena,Assay,ChDate,Sex,LizID,LizID_nums,LizID_etho,Trt,TotalDist,Velocity,NovItem_Freq,NovItem_Duration,NovItem_LatFirst,NovZone_Freq,NovZone_Duration,NovZone_LatFirst,Hide_Freq,Hide_Duration,Hide_DurationOrig,Hide_LatFirst,Entry_Freq,Entry_Duration,Entry_LatFirst,Social_Freq,Social_Duration,Social_LatFirst,Neutral_Freq,Neutral_Duration,Neutral_LatFirst,Asocial_Freq,Asocial_Duration,Asocial_LatFirst,Arena_Freq,Arena_Duration,Arena_LatFirst
Result 1,Trial    66,Arena 4,Exploration,CH2_08.01.16_DVR1,F,ld0122,0122,122,High,90.0694,0.0750579,0,0,NA,0,0,NA,9,1022.6,1022.6,145.92,10,34.28,143.16,1,131.72,0,1,4.04,131.72,10,41.68,135.76,1,1200.04,0
Result 1,Trial    67,Arena 1,Exploration,CH3_08.01.16_DVR1,F,ld0087,0087,87,High,768.869,0.640724,2,6.36,66.28,7,63.28,40.04,90,284.88,284.88,78.24,98,156.28,77.32,7,518.6,0,12,66.2,68.2,96,330.36,77.08,1,1200.04,0
Result 1,Trial    67,Arena 2,Exploration,CH3_08.01.16_DVR1,F,ld0037,0037,37,Low,381.038,0.317532,3,3.52,539.88,9,32.68,510,97,752.08,752.08,49.4,109,245.52,49.08,6,85.84,0,10,66.4,23.48,102,295.72,33.56,1,1200.04,0
Result 1,Trial    67,Arena 3,Exploration,CH3_08.01.16_DVR1,M,ld007,007,7,High,1435.5,1.19625,4,3.64,270.36,11,122.16,166.52,162,78.52,78.52,227.24,168,145.16,224.92,14,683.48,0,25,117.96,167.32,173,320.08,223.88,1,1200.04,0
Result 1,Trial    67,Arena 4,Exploration,CH3_08.01.16_DVR1,M,ld0120,0120,120,High,396.875,0.330784,0,0,NA,4,3.12,249.68,60,732,731.92,260.56,64,112.2,260.44,4,305.2,14.04,7,30.36,0,63,132.48,256.76,1,1199.96,0
Result 1,Trial    68,Arena 1,Exploration,CH4_08.01.16_DVR1,F,ld0102,0102,102,High,1287.37,1.07281,4,27.32,49.76,19,63.48,20.48,64,318.12,318.12,188.32,78,63.04,188.28,17,456.64,0,28,196.28,26.12,76,229,98.32,1,1200.04,0
Result 1,Trial    68,Arena 2,Exploration,CH4_08.01.16_DVR1,F,ld0089,0089,89,High,945.837,0.788197,2,15.8,716.96,7,43.08,356.16,115,61.64,61.64,273.08,125,140.72,272.04,9,623.96,0,16,68.12,82.92,123,446.32,87.32,1,1200.04,0
Result 1,Trial    68,Arena 3,Exploration,CH4_08.01.16_DVR1,M,ld0140,0140,140,High,247.895,0.206579,2,1.8,538.64,4,12.92,535.4,18,1059.56,1059.56,38.48,22,29.92,36.48,3,64.76,0,7,28.72,31.96,22,47,35.56,1,1200.04,0
Result 1,Trial    68,Arena 4,Exploration,CH4_08.01.16_DVR1,M,ld0010,0010,10,Low,146.67,0.122225,0,0,NA,0,0,NA,1,672.6,672.6,527.44,1,41.36,486.08,3,340.68,0,4,84.4,338.8,2,102.36,424.96,1,1200.04,0
Result 1,Trial    69,Arena 1,Exploration,CH1_09.01.16_DVR1,M,ld0111,0111,111,High,63.1945,0.0526621,1,111.12,0,1,4.72,111.12,25,721.2,721.2,120,26,359.76,119.08,2,112.24,0,2,6.16,111.68,26,360.44,118.4,1,1200.04,0
Result 1,Trial    69,Arena 2,Exploration,CH1_09.01.16_DVR1,M,ld0078,0078,78,High,526.577,0.438814,3,11.76,802.36,5,18.24,378.04,65,462.16,462.16,403.76,73,61.6,396.48,4,524.76,0,7,50.48,379.6,68,162.64,386.4,1,1200.04,0
Result 1,Trial    69,Arena 3,Exploration,CH1_09.01.16_DVR1,F,ld0050,0050,50,Low,646.445,0.538758,3,3.2,991.24,6,50.48,720.12,72,92.4,92.4,643.4,84,50.88,641.64,7,790.32,0,12,81.84,605,78,235.48,638.12,1,1200.04,0
Result 1,Trial    69,Arena 4,Exploration,CH1_09.01.16_DVR1,F,ld0012,0012,12,High,148.686,0.123905,0,0,NA,2,9.8,715,10,650.08,650.08,455.84,11,10.52,452.32,3,471.8,0,4,41.36,433.4,11,36.8,443.12,1,1200.04,0
Result 1,Trial    70,Arena 1,Exploration,CH2_09.01.16_DVR1,F,ld0138,0138,138,High,1395.48,1.1629,4,6.4,344.92,13,13.6,89.64,117,41.88,41.88,57.28,121,97,56.72,13,395.2,0,25,349.28,25.68,130,413.68,50.2,1,1200.04,0
Result 1,Trial    70,Arena 2,Exploration,CH2_09.01.16_DVR1,M,ld0109,0109,109,Low,875.168,0.729307,2,2.16,435.72,9,17.84,216.68,58,24.4,24.4,181.88,62,28.24,181.68,9,220.4,202.48,20,394.28,0,69,560.96,180.52,1,1200.04,0
Result 1,Trial    70,Arena 3,Exploration,CH2_09.01.16_DVR1,M,ld0132,0132,132,Low,1323.13,1.10261,6,7.24,184.04,14,26.68,180.36,89,57.92,57.92,123.48,98,418.12,119.32,16,270.48,0,35,199.6,63.04,109,672.04,96.96,1,1200.04,0
Result 1,Trial    70,Arena 4,Exploration,CH2_09.01.16_DVR1,F,ld0122,0122,122,High,438.375,0.365312,1,0.48,1110.24,4,5.04,275.88,53,638.24,638.24,279.4,64,102.48,279.16,4,301.8,0,7,19.92,277.4,56,240.08,278.56,1,1200.04,0
Result 1,Trial    71,Arena 1,Exploration,CH3_09.01.16_DVR1,F,ld0087,0087,87,High,304.645,0.253871,1,1.68,3.88,4,1.84,2.96,4,848.68,848.68,10.2,10,11.44,9.96,4,242.68,0,7,31.52,6.04,7,77.16,8.84,1,1200.04,0
Result 1,Trial    71,Arena 2,Exploration,CH3_09.01.16_DVR1,F,ld0037,0037,37,Low,378.587,0.315489,3,7.76,575.72,10,21.2,546,41,717.52,717.52,30.96,63,189.88,29.56,5,104.56,0,12,87.96,19.16,49,290,29.04,1,1200.04,0
Result 1,Trial    71,Arena 3,Exploration,CH3_09.01.16_DVR1,M,ld007,007,7,High,1303.35,1.08612,3,18.32,416.6,9,44.68,108.48,122,175.76,175.76,25.52,127,114,24.16,11,639.92,158.32,24,115,0,135,269.36,23.04,1,1200.04,0
Result 1,Trial    71,Arena 4,Exploration,CH3_09.01.16_DVR1,M,ld0120,0120,120,High,450.803,0.376586,1,2.6,838.72,5,35.2,0,53,824.96,822.16,88.8,56,112.76,88.36,4,144.28,0,7,24.2,78.2,57,206.6,82.88,1,1197.24,0
Result 1,Trial    72,Arena 1,Exploration,CH4_09.01.16_DVR1,F,ld0102,0102,102,High,1382.49,1.15207,2,3.84,180.28,20,87.08,155.56,103,101.6,101.6,26.68,111,159.92,26.56,15,402.68,0,30,275.8,1.96,117,419.96,8.92,1,1200.04,0
Result 1,Trial    72,Arena 2,Exploration,CH4_09.01.16_DVR1,F,ld0089,0089,89,High,972.681,0.810567,4,11.64,429.8,15,94.48,0,30,57.08,57.08,281.28,34,51.72,281.24,14,859.48,0,18,115.76,205.64,35,167.72,272.68,1,1200.04,0
Result 1,Trial    72,Arena 3,Exploration,CH4_09.01.16_DVR1,M,ld0140,0140,140,High,536.937,0.447448,3,4.76,54.88,13,36.12,52.16,52,861.68,861.68,63.56,57,42.4,63.32,7,173.68,0,15,50.28,58.08,60,114.4,61.32,1,1200.04,0
Result 1,Trial    72,Arena 4,Exploration,CH4_09.01.16_DVR1,M,ld0010,0010,10,Low,51.1646,0.0426371,0,0,NA,1,6.64,2.24,8,1183.6,1183.6,11.24,8,6.08,10.36,1,8.36,0,1,1.4,8.36,8,6.68,9.76,1,1200.04,0
Result 1,Trial    73,Arena 1,Exploration,CH1_10.01.16_DVR1,M,ld0111,0111,111,High,51.3542,0.0427952,0,0,NA,0,0,NA,12,956.88,956.88,165.8,13,77.92,165.24,1,163.8,0,1,1.24,163.8,13,78.12,165.04,1,1200.04,0
Result 1,Trial    73,Arena 2,Exploration,CH1_10.01.16_DVR1,M,ld0078,0078,78,High,17.9764,0.0153032,0,0,NA,0,0,NA,0,25.2,0,NA,0,0,NA,1,1174.84,0,0,0,NA,0,0,NA,1,1174.84,0
Result 1,Trial    73,Arena 3,Exploration,CH1_10.01.16_DVR1,F,ld0050,0050,50,Low,338.11,0.281758,1,1.64,974.4,3,5.6,926.48,31,316,316,624.64,33,114.2,624.6,9,693.36,0,10,37.6,601.92,33,153.08,606.88,1,1200.04,0
Result 1,Trial    73,Arena 4,Exploration,CH1_10.01.16_DVR1,F,ld0012,0012,12,High,319.144,0.30323,2,21.72,328.56,59,129.84,1.16,41,559.24,411.84,361,48,28.8,358.76,3,462.32,0,5,40.12,350.4,44,138.36,357.84,1,1052.64,0
Result 1,Trial    74,Arena 1,Exploration,CH2_10.01.16_DVR1,F,ld0138,0138,138,High,1109.45,0.924541,6,4.36,221.04,13,21.76,210.36,37,107.28,107.28,167.12,61,84.76,165.92,13,502.24,0,23,237.48,157.16,48,353.04,161.48,1,1200.04,0
Result 1,Trial    74,Arena 2,Exploration,CH2_10.01.16_DVR1,M,ld0109,0109,109,Low,320.472,0.26706,1,3.32,1132.12,5,30.04,106.24,24,788.84,788.84,109.48,28,36.08,109.24,4,266.8,0,7,46.96,108.4,28,97.44,109.2,1,1200.04,0
Result 1,Trial    74,Arena 3,Exploration,CH2_10.01.16_DVR1,M,ld0132,0132,132,Low,1458.01,1.21501,7,5.8,197.4,22,53.48,182.64,29,221.92,221.92,39.52,48,281.24,32.84,18,364.36,0,36,175,22.08,48,438.76,24.96,1,1200.04,0
Result 1,Trial    74,Arena 4,Exploration,CH2_10.01.16_DVR1,F,ld0122,0122,122,High,28.9009,0.0240841,1,0.76,411.72,2,1.48,410.56,1,785.52,785.52,414.52,1,0.68,413.84,1,412.52,0,1,0.96,412.52,1,1.04,413.48,1,1200.04,0
Result 1,Trial    75,Arena 1,Exploration,CH3_10.01.16_DVR1,F,ld0087,0087,87,High,590.65,0.492208,3,2.48,859,8,13.36,501.64,42,556.28,556.28,55.68,47,108.64,55.4,6,410.24,76.52,11,50.72,0,46,182.8,0.84,1,1200.04,0
Result 1,Trial    75,Arena 2,Exploration,CH3_10.01.16_DVR1,F,ld0037,0037,37,Low,205.502,0.171251,0,0,NA,2,16.04,956,45,1022.12,1022.12,46.16,47,62.68,40.48,2,44.68,0,3,37.84,14.52,46,95.4,15.8,1,1200.04,0
Result 1,Trial    75,Arena 3,Exploration,CH3_10.01.16_DVR1,M,ld007,007,7,High,1698.57,1.41548,3,1.88,383.88,18,79.12,138.04,220,35.64,35.64,213.24,234,225.96,213.12,17,594.88,0,34,98.72,141.72,238,470.8,145.32,1,1200.04,0
Result 1,Trial    75,Arena 4,Exploration,CH3_10.01.16_DVR1,M,ld0120,0120,120,High,314.831,0.262359,1,3.68,927.4,4,9,179.64,39,673.2,673.2,35.88,39,356.64,35.72,2,67.48,160.76,5,69.92,0,41,389.44,16.52,1,1200.04,0
Result 1,Trial    76,Arena 1,Exploration,CH4_10.01.16_DVR1,F,ld0102,0102,102,High,1164.41,0.970343,4,6.24,152.8,14,49.32,150.28,129,386.88,386.88,16.8,132,193.44,16.16,15,263.8,0,26,135.92,2.96,140,413.44,15.16,1,1200.04,0
Result 1,Trial    76,Arena 2,Exploration,CH4_10.01.16_DVR1,F,ld0089,0089,89,High,824.082,0.686735,7,15.96,346.68,19,79.08,314.28,28,32.72,32.72,20.4,37,76.32,10.24,8,770.28,159.96,15,118.36,157.36,35,278.68,0,1,1200.04,0
