Result	Trial	Arena	Assay	ChDate	Sex	LizID	Trt	TotalDist	Velocity	Social_Freq	Social_Duration	Social_LatFirst	Neutral_Freq	Neutral_Duration	Neutral_LatFirst	Asocial_Freq	Asocial_Duration	Asocial_LatFirst	NovItem_Freq	NovItem_Duration	NovItem_LatFirst	NovZone_Freq	NovZone_Duration	NovZone_LatFirst	Hide_Freq	Hide_Duration	Hide_DurationOrig	Hide_LatFirst	Entry_Freq	Entry_Duration	Entry_LatFirst	Arena_Freq	Arena_Duration	Arena_LatFirst
Result 1	Trial     9	Arena 3	Exploration	CH1_18.12.15_DVR2	M	117	High	661.933	0.551611	5	897.52	0	9	23.08	786.24	29	217.36	788.4	1	5.32	1065.32	4	19.6	784.84	24	62.08	62.08	790.72	50	94.4	789.76	1	1200.04	0
Result 1	Trial     9	Arena 4	Exploration	CH1_18.12.15_DVR2	F	22	Low	83.0197	0.0691831	1	67.16	0	1	1.28	67.16	27	16.6	68.44	0	0	NA	0	0	NA	27	1115	1115	72.12	27	13.2	71.84	1	1200.04	0
Result 1	Trial    10	Arena 1	Exploration	CH2_18.12.15_DVR2	M	26	High	110.14	0.0917831	1	330.32	0	1	56.68	330.32	3	2.28	387	3	2.36	320.56	4	13.32	318.2	3	810.76	810.76	389.2	3	0.72	388.56	1	1200.04	0
Result 1	Trial    10	Arena 2	Exploration	CH2_18.12.15_DVR2	F	62	Low	69.3188	0.0577657	0	0	NA	1	101.12	6.52	3	204.48	0	0	0	NA	0	0	NA	2	894.44	894.44	0.08	2	198.2	110.12	1	1200.04	0
Result 1	Trial    10	Arena 3	Exploration	CH2_18.12.15_DVR2	F	81	High	60.3005	0.0502504	1	118.28	0	1	7.04	118.28	1	3.48	125.32	2	0.36	116	3	4.72	113.48	1	1071.24	1071.24	128.8	2	1.8	126.48	1	1200.04	0
Result 1	Trial    10	Arena 4	Exploration	CH2_18.12.15_DVR2	F	80	High	328.081	0.273401	3	580	0	5	62.68	395.04	5	375.76	397.24	0	0	NA	3	158.68	927.48	2	181.6	181.6	400.04	10	288.44	399.48	1	1200.04	0
Result 1	Trial    11	Arena 1	Exploration	CH3_18.12.15_DVR2	F	84	Low	352.929	0.294107	4	150.72	0	7	35.68	80.76	14	95.12	100.24	2	3.44	79.48	6	27.16	50.92	10	918.52	918.52	101.04	19	37.64	100.76	1	1200.04	0
Result 1	Trial    11	Arena 2	Exploration	CH3_18.12.15_DVR2	F	57	Low	766.036	0.638364	7	109.12	283.04	13	69.76	276.16	26	521	0	0	0	NA	4	34.88	282.76	20	500.16	500.16	272.04	33	232.12	75.08	1	1200.04	0
Result 1	Trial    11	Arena 3	Exploration	CH3_18.12.15_DVR2	M	92	High	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Result 1	Trial    11	Arena 4	Exploration	CH3_18.12.15_DVR2	F	66	High	301.178	0.250982	4	510.36	0	8	53.24	459.6	11	131.04	462.28	0	0	NA	1	3.56	930.88	6	505.4	505.4	463.52	13	26.12	463.04	1	1200.04	0
