,Trial,Arena,Assay,ChDate,Sex,LizID,Trt,TotalDist,Velocity,Hide_Freq,Hide_Duration,Hide_DurationOrig,Hide_LatFirst,Entry_Freq,Entry_Duration,Entry_LatFirst,NovItem_Freq,NovItem_Duration,NovItem_LatFirst,NovZone_Freq,NovZone_Duration,NovZone_LatFirst,Social_Freq,Social_Duration,Social_LatFirst,Neutral_Freq,Neutral_Duration,Neutral_LatFirst,Asocial_Freq,Asocial_Duration,Asocial_LatFirst,Arena_Freq,Arena_Duration,Arena_LatFirst
Result 1,Trial     9,Arena 1,Exploration,CH1_18.12.15_DVR1,M,0142,High,279.247,0.232706,4,73.88,73.88,963.84,5,105.12,963.24,2,8.44,947.24,4,11.84,943.16,2,980.96,0,3,35.48,956.32,5,109.72,960.64,1,1200.04,0
Result 1,Trial     9,Arena 2,Exploration,CH1_18.12.15_DVR1,M,0021,High,209.267,0.174389,5,804.2,804.2,326.64,7,3.96,324.04,2,3.36,974.88,5,18.12,294.08,2,363.4,0,3,19.16,312.24,6,13.28,321.2,1,1200.04,0
Result 1,Trial     9,Arena 3,Exploration,CH1_18.12.15_DVR1,F,0114,Low,8.28512,0.00690427,1,1189.52,1189.52,10.52,1,0.12,10.4,0,0,-,0,0,-,0,0,-,0,0,-,1,10.52,0,1,1200.04,0
Result 1,Trial     9,Arena 4,Exploration,CH1_18.12.15_DVR1,F,0053,High,90.4007,0.0753339,4,919.52,919.52,264.12,4,24.44,256.08,0,0,-,0,0,-,1,230.36,0,1,2.8,230.36,4,47.36,233.16,1,1200.04,0
Result 1,Trial    10,Arena 1,Exploration,CH2_18.12.15_DVR1,F,0063,High,57.0471,0.0475392,1,812.36,812.36,387.68,1,0.96,386.72,0,0,-,0,0,-,1,383.36,0,1,2.32,383.36,1,2,385.68,1,1200.04,0
Result 1,Trial    10,Arena 2,Exploration,CH2_18.12.15_DVR1,M,0011,High,67.7504,0.0564587,1,797.28,797.28,402.76,1,1.2,401.56,1,0.84,398.68,2,1.52,397.72,1,399.48,0,1,1.44,399.48,1,1.84,400.92,1,1200.04,0
Result 1,Trial    10,Arena 3,Exploration,CH2_18.12.15_DVR1,F,0127,Low,67.2099,0.0560082,1,1035,1035,165.04,1,0.4,164.64,1,0.6,151.24,3,4.12,149.56,2,155.24,0,2,8.4,151.92,1,1.4,163.64,1,1200.04,0
Result 1,Trial    10,Arena 4,Exploration,CH2_18.12.15_DVR1,F,0046,High,51.2397,0.0426998,2,1108.16,1108.16,91.84,3,12.8,3.76,0,0,-,0,0,-,0,0,-,0,0,-,2,91.88,0,1,1200.04,0
Result 1,Trial    11,Arena 1,Exploration,CH3_18.12.15_DVR1,F,0097,Low,155.887,0.129906,12,1063.8,1063.8,56.84,14,30.76,57.44,0,0,-,1,19.6,6.12,1,31.96,0,1,1.92,31.96,12,102.36,33.88,1,1200.04,0
Result 1,Trial    11,Arena 2,Exploration,CH3_18.12.15_DVR1,M,0146,High,142.138,0.118448,1,200.8,200.8,835.64,2,164.68,834.56,0,0,-,7,23.84,162.84,1,829.12,0,1,4.12,829.12,2,166,833.24,1,1200.04,0
