"Result","Trial","Arena","Assay","ChDate","Sex","LizID","LizID_etho","Trt","TotalDist","Velocity","NovItem_Freq","NovItem_Duration","NovItem_LatFirst","NovZone_Freq","NovZone_Duration","NovZone_LatFirst","Hide_Freq","Hide_Duration","Hide_DurationOrig","Hide_LatFirst","Entry_Freq","Entry_Duration","Entry_LatFirst","Social_Freq","Social_Duration","Social_LatFirst","Neutral_Freq","Neutral_Duration","Neutral_LatFirst","Asocial_Freq","Asocial_Duration","Asocial_LatFirst","Arena_Freq","Arena_Duration","Arena_LatFirst","LizID_nums","LizID_num","liz_capture_date","liz_collect_site","date_of_measurements","hlen","hwid","EndMass","mass","svl","tail_length","liz_status","liz_death_date","liz_notes"
"Result 1","Trial     3","Arena 4","Exploration","CH3_16.12.15_DVR3","F","ld0068",68,"Low",568.746,"0.473955",1,0.48,1118.4,5,3.24,72.24,24,663.24,663.24,75.48,46,216.64,74.12,4,114.2,0,11,29.96,72.4,32,392.64,73.36,1,1200.04,0,NA,68,"1/09/2015","SP","1/09/2015",7.82,5.13,1.379,1.3,45,54,"ALIVE","","few bite marks on ventral. Regrown tail. Updated tc from tc0141 on 6/12/16"
"Result 1","Trial     4","Arena 1","Exploration","CH4_16.12.15_DVR3","F","ld0060",60,"High",196.738,"0.163948",0,0,NA,0,0,NA,8,33.2,33.2,1119.56,14,526.24,613.16,1,605.16,0,1,1.56,605.16,8,560.12,606.72,1,1200.04,0,NA,60,"1/09/2015","SP","1/09/2015",7.45,5.21,1.319,1.2,41,52,"ALIVE","","bite marks (i.e. from copulation) on ventral"
"Result 1","Trial     4","Arena 2","Exploration","CH4_20.12.15_DVR1","F","ld0083",83,"High",730.964,"0.609137",3,4.16,889.64,9,56.32,172.72,127,449.96,449.96,230.84,152,213.4,230.48,5,301.88,0,10,112.6,180.6,133,335.6,209.08,1,1200.04,0,83,NA,"5/09/2015","SP","5/09/2015",7.52,5.09,1.395,1.4,42,60,"ALIVE","","few bite marks on ventral "
"Result 1","Trial     4","Arena 2","Exploration","CH4_16.12.15_DVR2","F","ld0090",90,"High",1029.12,"0.857604",1,0.76,408.64,10,17.68,186.8,33,259.36,259.36,191.48,45,97.28,191.2,10,450.96,0,20,87.8,188.6,44,401.92,190.68,1,1200.04,0,90,NA,"5/09/2015","SP","5/09/2015",7.41,5.26,1.174,1.3,42,52,"ALIVE","","bite marks (i.e. from copulation) on ventral. Tip of tail regrown, updated tc from tc0210 on 6/12/16"
"Result 1","Trial     4","Arena 2","Exploration","CH4_16.12.15_DVR3","F","ld0048",48,"Low",627.806,"0.523172",1,5.88,935.2,3,6.32,934.28,24,440.96,440.96,14.64,48,285.56,14.2,3,130.72,750.4,9,77.96,263.12,30,550.4,0,1,1200.04,0,NA,48,"2/09/2015","SP","2/09/2015",6.92,4.74,1.05,0.8,37,38,"DEAD","30/12/2016","bite marks (i.e. from copulation) on ventral. Tail tip broken. Isolated on 27.12.16 for mite treatment heavily infested"
"Result 1","Trial     4","Arena 3","Exploration","CH4_20.12.15_DVR1","F","ld0124",124,"High",122.39,"0.101991",0,0,NA,1,8.08,1190.6,12,1150.36,1150.36,29.08,13,7.28,28.88,3,26.16,0,3,6.92,16.4,13,16.6,20.04,1,1200.04,0,124,NA,"5/09/2015","SP","5/09/2015",7.42,5.14,1.314,1.2,42,35,"ALIVE","","1 bite mark on ventral. Broken tail during capture. "
"Result 1","Trial     4","Arena 3","Exploration","CH4_16.12.15_DVR2","F","ld0141",141,"High",472.138,"0.393449",2,8.44,951.8,7,30.6,945.24,26,522.6,522.6,356.08,32,133.36,355.4,6,380.6,0,11,71.76,340.44,32,225.08,350.96,1,1200.04,0,141,NA,"7/09/2015","MP","7/09/2015",6.92,4.97,0.933,0.9,38,48,"ALIVE","","3 bite marks, Updated tc from tc0330 on 6/12/16"
"Result 1","Trial     4","Arena 4","Exploration","CH4_20.12.15_DVR1","F","ld0093",93,"Low",163.284,"0.13607",0,0,NA,3,43.24,677.64,16,370.84,370.84,742.44,17,16.92,738.32,2,684,0,3,79.52,683.76,17,65.68,712.92,1,1200.04,0,93,NA,"5/09/2015","SP","5/09/2015",6.89,4.81,1.187,1.2,40,49,"ALIVE","","tail partially regrown - missing tip. Missing all digits on back R leg except for digit 5."
"Result 1","Trial     4","Arena 4","Exploration","CH4_16.12.15_DVR2","F","ld0054",54,"Low",829.328,"0.691106",0,0,NA,5,349.68,0,14,78.8,78.8,553.64,30,242.8,340.28,10,484.8,0,16,119.16,217,20,517.28,219.92,1,1200.04,0,54,NA,"1/09/2015","SP","1/09/2015",7.26,5.13,1.136,1,39,56,"ALIVE","","few bite marks on ventral. Updated tc from tc0114 on 6/12/16 "
"Result 1","Trial     5","Arena 1","Exploration","CH1_21.12.15_DVR1","F","ld0055",50,"Low",1345.37,"1.12114",5,6.48,527.52,20,49,329.12,52,497.56,497.56,55.16,70,40.84,54.56,14,257.28,0,28,128.08,50.92,66,317.12,52.12,1,1200.04,0,50,NA,"1/09/2015","SP","1/09/2015",7.06,5.12,0.943,0.9,37,56,"ALIVE","","Updated tc from tc0115 on 6/12/16"
